intersection_id,timestep,q_n,q_s,q_e,q_w,w_n,w_s,w_e,w_w,phase,elapsed
i4,67,19.5,19.5,20.0,17.0,24.4,23.6,25.4,20.3,0,26
i0,68,14.1,13.1,12.7,12.7,15.9,14.2,15.2,15.5,0,32
i1,68,14.3,16.7,17.4,17.9,18.9,20.0,20.3,22.3,0,19
i2,68,17.8,19.0,18.6,18.2,19.9,24.9,22.1,23.2,1,18
i3,68,20.3,18.6,19.4,20.7,26.1,21.7,25.2,24.3,0,7
i4,68,18.3,16.6,18.1,15.3,20.9,20.2,21.5,18.2,0,27
i0,69,15.3,11.4,13.3,15.4,18.2,13.7,16.3,17.8,0,33
i1,69,17.0,17.2,18.0,19.1,20.1,23.0,20.7,20.9,0,20
i2,69,18.2,17.6,19.6,19.9,22.1,21.5,24.8,23.2,1,19
i3,69,18.7,17.8,20.1,19.2,24.6,21.2,24.9,22.2,0,8
i4,69,18.7,17.2,17.5,15.1,21.3,20.3,19.8,19.1,0,28
i0,70,18.6,12.3,14.5,17.3,21.7,16.0,17.3,22.0,0,34
i1,70,18.7,17.1,18.2,18.4,22.9,19.9,22.1,22.6,0,21
i2,70,18.2,19.0,20.6,20.0,22.4,22.7,24.9,23.4,1,20
i3,70,17.2,17.6,18.1,19.8,19.7,20.7,21.6,23.4,0,9
i4,70,17.3,15.9,17.5,13.7,20.8,19.3,22.5,17.8,0,29
i0,71,18.8,13.1,17.3,18.2,20.9,15.8,21.5,21.2,1,0
i1,71,20.0,18.5,18.2,17.7,24.2,21.9,22.2,21.9,0,22
i2,71,19.1,20.3,21.1,19.6,20.7,23.0,24.8,23.8,1,21
i3,71,18.3,15.5,17.7,19.6,23.9,19.4,21.0,23.5,0,10
i4,71,16.9,16.3,18.1,14.0,20.3,20.4,21.3,16.4,0,30
i0,72,18.8,13.1,18.4,18.9,22.4,16.8,23.6,22.4,1,1
i1,72,21.2,17.7,17.9,17.6,24.7,22.3,21.8,20.1,0,23
i2,72,19.4,20.0,19.5,19.9,25.5,24.1,24.5,23.5,1,22
i3,72,18.4,16.4,18.0,18.9,21.6,20.0,21.5,21.7,0,11
i4,72,16.3,15.6,15.3,13.2,19.2,20.3,18.7,14.9,0,31
i0,73,18.8,16.0,18.1,18.6,22.9,19.2,21.1,22.2,1,2
i1,73,21.5,16.9,19.0,17.9,25.1,21.9,23.9,21.5,0,24
i2,73,18.6,18.6,20.4,20.4,23.0,24.1,25.2,22.8,1,23
i3,73,19.2,17.7,17.2,18.7,23.2,20.0,21.8,22.3,0,12
i4,73,14.6,15.6,16.2,12.8,17.1,18.2,21.0,14.1,0,32
i0,74,19.6,16.4,19.4,20.5,23.8,19.7,23.5,23.5,1,3
i1,74,20.1,18.2,20.3,18.7,23.9,21.6,23.4,21.2,0,25
i2,74,18.0,20.8,18.5,19.0,22.1,26.4,21.9,23.2,1,24
i3,74,17.9,16.8,16.0,18.5,21.4,19.4,20.3,20.3,0,13
i4,74,13.6,15.4,15.7,13.3,15.9,18.9,20.8,16.2,0,33
i0,75,19.2,16.2,19.0,19.7,21.7,19.0,22.2,24.9,1,4
i1,75,20.9,19.9,21.8,19.9,26.1,24.6,26.9,22.6,0,26
i2,75,16.8,20.4,17.7,18.5,18.1,24.6,22.8,23.1,1,25
i3,75,17.7,16.1,15.9,16.8,21.6,19.4,18.3,22.4,0,14
i4,75,13.0,13.1,15.5,13.8,16.3,17.2,18.2,16.8,0,34
i0,76,18.6,17.0,19.1,20.7,22.0,20.9,24.0,24.8,1,5
i1,76,20.5,19.9,21.3,19.4,23.6,23.1,25.9,24.9,0,27
i2,76,16.6,19.4,17.4,18.3,16.8,22.9,20.6,22.8,1,26
i3,76,18.1,16.3,14.4,14.8,22.2,19.3,18.2,18.0,0,15
i4,76,13.1,11.8,13.8,13.1,15.6,12.6,16.7,15.1,1,0
i0,77,18.1,16.1,18.6,19.3,22.0,19.5,22.4,22.2,1,6
i1,77,19.1,18.7,21.5,18.8,23.1,21.5,25.7,22.8,0,28
i2,77,15.8,17.8,17.8,17.5,18.0,20.7,21.5,21.8,1,27
i3,77,16.4,16.1,14.4,15.0,19.8,18.8,18.1,19.0,0,16
i4,77,11.5,12.4,12.0,13.4,12.8,16.9,15.7,16.9,1,1
i0,78,18.4,17.7,19.3,19.8,23.2,21.2,23.3,24.0,1,7
i1,78,18.1,18.6,20.0,20.0,23.5,21.4,24.1,23.8,0,29
i2,78,14.9,16.7,17.8,17.6,17.8,21.2,21.3,20.6,1,28
i3,78,14.7,13.5,13.9,15.1,17.4,16.0,16.6,18.0,0,17
i4,78,10.9,10.9,11.1,11.7,13.2,14.1,13.8,14.0,1,2
i0,79,19.6,17.6,18.6,19.4,23.5,22.3,21.8,24.1,1,8
i1,79,18.3,18.4,21.1,18.0,20.5,20.6,26.7,20.4,0,30
i2,79,15.1,16.0,16.2,17.1,19.5,18.9,18.9,20.0,1,29
i3,79,13.9,13.3,13.5,14.2,14.9,15.5,16.8,16.4,0,18
i4,79,9.1,13.2,10.5,10.9,10.4,17.0,13.1,12.9,1,3
i0,80,20.2,16.2,18.1,19.0,26.2,18.6,22.5,22.5,1,9
i1,80,17.0,19.0,18.6,16.6,20.6,24.3,21.4,21.1,0,31
i2,80,13.9,13.5,15.5,15.4,16.8,16.4,18.6,18.3,1,30
i3,80,13.4,9.8,12.1,13.0,16.9,10.9,14.0,16.6,0,19
i4,80,9.6,12.7,10.0,8.6,10.5,14.6,13.2,9.1,1,4
i0,81,18.6,16.3,18.3,18.6,21.2,19.1,21.7,22.1,1,10
i1,81,16.8,18.7,17.0,15.6,19.6,22.4,20.9,17.8,0,32
i2,81,12.7,11.2,13.8,14.2,15.8,14.6,16.4,16.4,1,31
i3,81,12.0,7.6,10.2,12.3,13.5,9.4,11.3,14.6,0,20
i4,81,8.2,11.3,9.7,8.3,9.5,13.1,12.1,9.5,1,5
i0,82,16.9,17.2,17.4,18.3,20.7,22.0,20.9,23.1,1,11
i1,82,15.3,18.0,17.0,14.5,19.5,22.2,20.4,18.7,0,33
i2,82,10.9,10.8,14.1,14.3,12.1,11.3,16.2,19.3,1,32
i3,82,11.7,9.3,8.4,9.7,14.5,12.1,8.0,10.5,0,21
i4,82,8.6,10.4,9.7,7.4,11.3,13.6,11.5,10.1,1,6
i0,83,15.5,16.2,15.5,17.8,17.7,17.3,19.4,21.3,1,12
i1,83,13.6,14.4,15.8,12.9,15.5,16.4,19.5,16.7,0,34
i2,83,8.1,10.6,12.4,12.2,10.8,12.7,14.2,15.7,1,33
i3,83,10.5,9.7,7.7,8.8,14.1,11.7,8.4,11.9,0,22
i4,83,7.9,10.2,9.5,7.2,8.8,11.3,9.9,7.1,1,7
i0,84,14.5,14.9,13.5,17.7,16.9,19.0,16.6,22.7,1,13
i1,84,11.6,14.4,14.6,13.0,14.6,16.2,16.5,16.5,1,0
i2,84,7.9,9.4,12.0,11.0,7.1,12.0,14.6,14.0,1,34
i3,84,11.1,7.5,7.6,8.0,14.2,11.1,9.0,8.4,0,23
i4,84,7.2,8.7,8.8,8.5,7.1,10.8,10.5,10.2,1,8
i0,85,14.2,14.0,13.3,15.5,16.5,18.0,15.2,20.6,1,14
i1,85,11.6,13.9,13.3,13.0,15.3,16.8,15.3,15.5,1,1
i2,85,8.4,10.6,11.5,11.3,9.5,13.6,14.6,14.4,0,0
i3,85,9.5,8.2,8.7,6.2,11.0,8.5,9.7,9.1,0,24
i4,85,5.7,6.4,7.2,9.6,7.8,7.1,7.2,11.9,1,9
i0,86,12.6,14.1,12.5,14.5,14.7,15.5,15.5,15.4,1,15
i1,86,11.0,12.4,12.1,11.0,13.5,15.2,15.3,11.6,1,2
i2,86,9.0,9.0,10.6,9.2,11.8,10.6,11.7,12.6,0,1
i3,86,7.3,7.7,7.7,6.1,9.9,8.7,7.9,7.4,0,25
i4,86,5.6,6.1,7.0,10.2,6.9,6.4,6.9,12.3,1,10
i0,87,13.7,12.9,12.1,14.1,15.5,15.3,13.9,16.6,1,16
i1,87,9.6,9.8,12.7,10.2,11.3,12.1,18.2,12.4,1,3
i2,87,8.6,9.2,9.5,7.1,9.1,12.6,11.9,8.0,0,2
i3,87,6.2,7.9,7.7,5.3,7.8,10.4,10.9,5.5,0,26
i4,87,9.0,5.7,6.9,8.0,8.0,8.0,9.5,10.3,1,11
i0,88,12.8,11.3,11.6,12.4,14.5,13.8,14.5,16.1,1,17
i1,88,7.8,10.4,11.5,10.5,7.9,11.8,14.7,13.3,1,4
i2,88,7.7,6.2,9.5,7.0,9.6,7.2,9.8,8.7,0,3
i3,88,6.4,5.9,7.5,6.4,6.5,7.3,7.4,8.0,0,27
i4,88,8.6,5.8,8.6,6.7,10.0,6.8,9.7,8.1,1,12
i0,89,14.0,10.0,11.3,10.7,16.7,12.5,13.2,14.8,1,18
i1,89,8.1,10.9,11.5,9.3,9.4,12.0,14.4,9.3,1,5
i2,89,7.7,8.5,9.8,7.7,9.3,11.3,11.3,8.7,0,4
i3,89,5.6,4.5,7.7,6.5,6.7,3.7,8.3,7.6,1,0
i4,89,7.5,8.4,9.7,6.9,10.5,9.7,13.8,8.8,1,13
i0,90,10.3,9.6,10.3,10.6,11.8,10.7,12.6,11.1,1,19
i1,90,6.8,10.7,9.8,7.8,8.2,12.7,12.1,9.6,1,6
i2,90,7.3,8.4,9.1,7.6,10.0,8.0,9.9,7.9,0,5
i3,90,7.5,6.3,7.1,7.0,8.7,6.8,6.2,8.9,1,1
i4,90,5.8,9.3,9.3,7.8,8.5,11.9,10.5,10.0,1,14
i0,91,11.6,10.1,8.8,9.4,13.4,12.1,10.6,10.6,1,20
i1,91,4.9,9.3,10.0,8.5,6.3,10.8,10.5,8.4,1,7
i2,91,6.4,5.9,7.4,7.4,5.9,7.8,9.2,7.2,0,6
i3,91,7.6,7.2,6.9,7.4,8.7,7.7,6.6,7.0,1,2
i4,91,7.9,9.4,8.9,7.7,10.4,11.5,11.2,10.7,1,15
i0,92,10.4,9.6,7.1,9.6,12.2,10.2,8.2,11.5,1,21
i1,92,5.0,7.4,8.5,8.3,6.1,8.6,11.5,11.2,1,8
i2,92,5.4,4.2,8.3,7.1,7.4,6.2,7.8,8.9,0,7
i3,92,8.8,8.1,7.9,7.0,11.2,10.9,9.7,8.0,1,3
i4,92,7.7,11.1,9.1,8.9,8.0,15.8,10.4,10.4,1,16
i0,93,8.8,8.0,7.5,9.9,10.1,8.4,6.9,12.7,1,22
i1,93,5.8,6.7,7.8,7.8,7.1,8.4,8.2,7.7,1,9
i2,93,5.7,3.7,9.0,6.3,8.1,3.9,11.4,7.7,1,0
i3,93,7.7,6.8,8.2,7.9,8.8,8.1,8.7,10.8,1,4
i4,93,8.1,9.9,10.0,8.4,10.8,11.7,12.7,11.4,1,17
i0,94,9.3,8.5,8.3,8.9,11.0,7.9,10.7,12.2,1,23
i1,94,5.8,6.4,6.7,8.8,6.2,9.2,7.8,11.0,1,10
i2,94,4.7,5.1,8.3,6.7,6.6,5.6,9.5,8.4,1,1
i3,94,6.9,7.8,9.9,8.7,8.9,8.5,12.3,11.2,1,5
i4,94,8.8,9.4,9.9,9.8,12.2,12.3,8.6,12.0,1,18
i0,95,7.1,9.2,7.3,9.0,9.6,10.2,9.5,11.9,1,24
i1,95,7.3,7.1,6.4,7.4,9.3,6.7,7.0,9.1,1,11
i2,95,5.7,4.0,9.1,6.8,6.0,4.9,10.3,6.3,1,2
i3,95,7.6,8.1,9.6,8.4,7.7,10.0,11.8,9.8,1,6
i4,95,9.6,10.8,12.3,9.3,11.6,12.6,16.0,10.0,1,19
i0,96,8.7,6.5,8.0,7.5,11.0,8.9,11.0,9.6,1,25
i1,96,9.5,7.3,5.6,5.1,11.8,10.4,6.9,7.0,0,0
i2,96,7.7,5.7,9.5,7.1,8.9,5.4,10.6,8.3,1,3
i3,96,6.9,9.1,9.9,8.9,10.2,12.0,11.3,13.1,1,7
i4,96,11.3,10.3,12.2,9.6,14.8,12.1,15.3,12.2,1,20
i0,97,7.8,6.8,7.4,7.5,8.6,8.6,8.3,8.3,1,26
i1,97,7.8,7.0,6.6,5.5,9.3,9.5,9.6,6.3,0,1
i2,97,8.8,6.7,9.5,9.6,11.4,6.7,11.1,11.0,1,4
i3,97,8.4,10.0,10.8,9.4,9.7,12.8,12.1,12.2,1,8
i4,97,12.8,11.3,12.4,10.6,17.0,13.6,15.8,12.6,1,21
i0,98,6.4,8.3,7.6,8.3,8.6,9.4,8.5,8.5,1,27
i1,98,7.9,6.8,7.3,6.3,10.8,8.6,8.1,7.2,0,2
i2,98,9.2,8.4,9.4,10.6,11.3,10.9,9.4,11.3,1,5
i3,98,9.4,12.4,11.4,10.8,13.3,14.6,15.1,13.8,1,9
i4,98,12.8,11.8,11.4,11.7,16.2,15.2,14.3,14.4,1,22
i0,99,5.7,7.8,7.6,8.5,7.7,8.8,7.6,9.7,1,28
i1,99,7.7,8.3,7.5,6.1,8.8,11.2,8.8,7.4,0,3
i2,99,10.0,9.5,9.3,10.4,10.5,11.5,11.2,13.0,1,6
i3,99,12.7,13.7,10.8,11.0,13.7,16.7,13.8,14.0,1,10
i4,99,12.1,13.2,13.7,13.3,14.4,16.9,17.2,15.5,1,23
