intersection_id,timestep,q_n,q_s,q_e,q_w,w_n,w_s,w_e,w_w,phase,elapsed
i3,48,24.5,22.8,23.6,23.4,28.9,30.0,28.8,28.6,1,17
i4,48,22.8,23.5,21.9,23.9,28.7,28.8,28.4,30.1,1,16
i5,48,23.1,23.3,21.4,24.4,29.0,28.4,25.9,31.2,0,8
i6,48,20.2,21.7,23.5,20.4,25.9,27.0,29.0,25.2,1,13
i0,49,18.6,20.1,19.6,20.1,23.9,23.2,25.5,24.1,0,38
i1,49,19.3,20.8,19.2,21.3,23.1,26.3,24.4,26.7,1,13
i2,49,22.4,22.6,22.8,21.5,29.5,28.3,28.5,27.2,0,2
i3,49,22.9,24.4,23.3,23.4,29.8,30.1,29.9,28.7,1,18
i4,49,24.0,23.3,22.8,23.3,31.4,30.2,28.0,28.1,1,17
i5,49,21.5,22.6,21.0,22.6,28.2,27.3,23.9,28.4,0,9
i6,49,20.1,22.0,23.4,19.9,24.3,27.5,29.1,24.4,1,14
i0,50,19.6,19.9,20.2,19.7,24.0,24.5,24.7,24.4,0,39
i1,50,19.9,21.5,21.2,22.0,24.8,27.4,27.2,28.3,1,14
i2,50,23.0,23.2,22.9,23.8,29.6,30.2,29.0,30.6,0,3
i3,50,23.8,23.5,23.0,22.7,28.8,30.1,30.1,28.9,1,19
i4,50,23.2,23.0,23.1,23.2,29.4,28.8,30.3,27.5,1,18
i5,50,22.3,21.7,20.6,21.4,27.7,25.5,25.3,27.2,0,10
i6,50,19.4,22.4,22.6,18.5,24.7,28.2,28.3,23.8,1,15
i0,51,20.5,19.8,20.3,20.5,26.4,24.6,25.4,25.8,1,0
i1,51,19.8,22.0,22.0,22.5,25.5,26.8,28.3,28.3,1,15
i2,51,22.9,23.6,21.6,24.0,28.4,30.6,28.0,31.1,0,4
i3,51,24.4,23.3,22.4,22.6,28.5,29.8,27.8,27.8,1,20
i4,51,22.0,21.9,22.2,23.3,26.1,27.0,27.0,29.4,1,19
i5,51,22.3,22.0,20.3,21.1,29.6,26.6,25.3,26.4,0,11
i6,51,19.1,21.3,21.5,17.9,24.6,27.7,26.3,22.9,1,16
i0,52,21.5,21.4,20.7,20.3,26.8,25.3,24.5,26.2,1,1
i1,52,21.3,21.3,23.1,22.8,27.6,26.9,29.0,28.8,1,16
i2,52,24.0,23.1,23.0,24.1,30.9,26.2,27.4,30.4,0,5
i3,52,24.7,23.3,22.4,22.6,31.7,27.9,28.2,27.9,1,21
i4,52,21.6,21.3,22.0,22.5,24.8,26.3,26.3,28.3,1,20
i5,52,22.0,21.2,20.3,21.6,28.0,28.1,25.7,26.6,0,12
i6,52,19.7,20.5,20.7,17.8,26.0,26.0,24.8,22.4,1,17
i0,53,21.8,22.0,19.6,21.4,28.3,27.9,24.1,25.4,1,2
i1,53,22.4,22.4,22.1,22.9,27.7,27.3,28.8,29.9,1,17
i2,53,23.6,24.0,23.6,24.4,29.3,31.5,30.4,30.0,0,6
i3,53,24.5,23.6,22.6,22.1,30.7,29.6,29.1,26.5,1,22
i4,53,22.6,20.5,22.0,21.8,27.7,25.2,27.3,27.0,1,21
i5,53,21.0,20.5,19.9,20.8,24.9,25.0,24.3,25.2,0,13
i6,53,18.5,19.8,21.1,18.5,23.4,24.5,26.5,22.9,1,18
i0,54,20.8,22.2,19.3,21.9,26.6,28.0,26.0,26.7,1,3
i1,54,23.8,22.4,22.2,22.7,29.7,27.2,28.6,29.1,1,18
i2,54,23.9,22.4,24.0,24.2,31.4,30.4,29.3,30.5,0,7
i3,54,25.2,23.7,22.0,21.4,31.0,29.4,27.7,24.9,1,23
i4,54,23.6,20.5,19.9,20.8,30.2,25.6,24.7,26.5,1,22
i5,54,20.3,19.4,20.2,18.9,25.5,24.4,25.0,24.0,0,14
i6,54,18.2,20.0,20.4,18.0,22.5,23.6,26.2,23.8,1,19
i0,55,20.6,22.4,21.2,22.0,27.0,28.5,25.6,28.7,1,4
i1,55,23.7,22.6,21.7,23.7,29.1,28.7,28.1,29.9,1,19
i2,55,24.6,22.9,23.2,23.8,30.2,28.6,28.8,30.5,0,8
i3,55,24.6,23.1,22.1,21.1,31.0,29.2,26.8,26.0,1,24
i4,55,22.2,19.4,20.3,20.2,28.1,24.1,25.0,24.5,1,23
i5,55,19.9,18.9,20.9,16.6,24.5,23.8,27.5,21.2,0,15
i6,55,18.2,17.7,19.3,17.7,23.8,21.0,25.4,22.2,1,20
i0,56,22.1,23.0,21.5,22.0,26.3,28.9,27.7,28.5,1,5
i1,56,24.2,22.7,22.9,23.0,31.4,28.8,29.4,28.8,1,20
i2,56,25.3,21.6,24.1,23.1,30.0,28.5,30.7,29.3,0,9
i3,56,23.5,23.6,21.6,21.7,28.7,29.4,26.6,27.4,1,25
i4,56,21.8,19.0,20.5,19.5,28.5,22.6,25.7,24.2,1,24
i5,56,18.7,19.9,19.6,17.2,22.5,24.1,24.6,22.1,0,16
i6,56,19.2,17.0,17.8,17.9,24.5,19.7,21.8,23.5,1,21
i0,57,22.3,24.1,23.7,22.5,26.1,29.4,30.1,28.6,1,6
i1,57,23.8,21.8,23.1,22.9,31.2,26.1,28.7,30.0,1,21
i2,57,25.0,21.3,24.5,23.6,31.0,25.9,30.3,28.7,0,10
i3,57,22.4,22.3,21.2,22.1,29.3,28.1,27.1,27.7,1,26
i4,57,21.1,19.6,21.5,20.1,25.7,24.5,26.3,25.3,1,25
i5,57,18.2,18.4,19.3,16.3,21.1,22.7,24.3,19.4,0,17
i6,57,17.6,18.0,16.5,16.2,20.9,22.4,21.3,20.5,1,22
i0,58,22.8,23.6,23.6,23.5,29.4,30.7,28.3,29.8,1,7
i1,58,24.9,22.5,24.0,23.0,30.1,27.4,30.3,29.6,1,22
i2,58,25.2,21.7,23.6,24.0,30.9,27.9,28.4,30.9,0,11
i3,58,21.0,22.1,19.9,21.0,27.2,28.9,25.4,27.4,1,27
i4,58,20.3,18.7,20.3,20.1,24.9,22.9,23.9,25.5,1,26
i5,58,17.6,17.7,17.7,16.3,21.5,21.8,21.1,20.0,0,18
i6,58,15.5,17.1,15.6,15.2,19.7,20.8,19.7,18.9,1,23
i0,59,23.1,22.7,22.8,23.3,27.9,28.7,28.8,29.0,1,8
i1,59,25.0,22.9,23.8,23.4,31.0,28.0,28.8,29.1,1,23
i2,59,23.4,23.0,21.2,23.0,31.4,27.8,26.2,29.8,0,12
i3,59,21.4,21.9,21.0,20.2,26.2,27.4,25.3,24.5,1,28
i4,59,19.6,19.1,20.9,17.7,23.9,24.2,25.1,21.7,1,27
i5,59,17.2,18.0,17.6,16.1,21.2,21.8,21.8,19.0,0,19
i6,59,15.2,16.3,13.4,14.0,17.9,20.5,17.5,16.9,1,24
i0,60,23.9,23.1,22.9,22.9,29.3,28.8,28.1,27.3,1,9
i1,60,24.4,23.2,25.0,22.1,29.8,28.7,29.9,26.7,1,24
i2,60,22.0,22.8,21.4,23.4,28.0,28.3,26.6,29.6,0,13
i3,60,20.1,21.3,21.2,19.9,26.3,26.0,25.1,24.7,1,29
i4,60,20.3,17.7,19.5,16.9,25.2,21.2,26.2,21.2,1,28
i5,60,15.6,17.7,17.4,15.1,18.9,21.8,22.3,18.4,0,20
i6,60,15.1,15.8,13.7,13.8,18.2,19.1,17.3,18.0,1,25
i0,61,24.1,22.8,23.4,22.6,29.7,28.6,28.1,28.5,1,10
i1,61,24.2,23.1,23.6,21.9,29.7,28.4,30.0,26.2,1,25
i2,61,21.0,22.8,21.3,21.9,25.4,28.7,26.1,26.2,0,14
i3,61,19.7,22.0,19.1,19.9,23.9,26.3,24.5,24.3,1,30
i4,61,19.8,17.7,19.9,16.5,25.9,23.0,25.1,19.9,1,29
i5,61,14.0,16.2,16.5,13.4,17.0,20.7,21.0,15.8,0,21
i6,61,13.8,14.2,14.3,14.8,16.4,17.3,17.1,18.0,1,26
i0,62,23.0,24.8,23.8,22.2,28.1,31.6,29.6,27.5,1,11
i1,62,22.9,22.9,23.5,23.0,27.8,29.3,29.8,29.9,1,26
i2,62,21.5,22.2,21.3,21.9,27.0,27.8,27.4,27.3,0,15
i3,62,20.0,21.2,19.8,19.2,26.0,25.3,24.9,25.2,1,31
i4,62,18.7,17.3,18.0,16.2,22.0,22.8,22.7,19.9,1,30
i5,62,14.4,15.7,16.3,13.2,18.3,19.6,19.9,15.9,0,22
i6,62,12.9,12.8,14.4,13.3,15.8,16.4,17.2,16.0,1,27
i0,63,22.9,24.0,23.2,23.0,28.5,29.6,27.8,28.9,1,12
i1,63,23.9,23.6,22.6,24.1,30.6,30.0,28.1,28.1,1,27
i2,63,22.0,21.3,21.5,20.9,26.6,26.6,26.8,25.3,0,16
i3,63,19.8,20.4,19.3,18.0,25.6,25.8,24.3,22.7,1,32
i4,63,18.3,16.2,18.0,15.8,23.3,20.7,22.6,19.6,1,31
i5,63,14.4,14.5,15.1,14.0,16.6,18.3,19.3,16.9,0,23
i6,63,12.8,12.4,12.4,12.3,14.9,15.9,15.8,16.6,1,28
i0,64,23.5,23.5,24.0,23.9,29.4,28.4,29.1,30.7,1,13
i1,64,23.2,23.1,22.5,21.7,28.9,28.7,29.1,26.6,1,28
i2,64,21.6,20.9,21.3,21.6,25.9,27.0,26.6,25.7,0,17
i3,64,18.7,20.0,19.6,16.5,23.7,25.0,25.2,21.2,1,33
i4,64,17.8,15.9,18.5,14.2,23.3,19.5,23.0,17.4,1,32
i5,64,13.7,12.4,12.8,13.4,17.1,16.4,17.1,16.3,0,24
i6,64,12.3,11.8,11.5,12.2,15.5,14.0,14.2,15.5,1,29
i0,65,23.5,23.2,23.8,24.4,30.2,30.1,30.0,31.6,1,14
i1,65,22.7,22.9,21.8,21.4,29.1,29.5,28.3,26.3,1,29
i2,65,21.8,20.4,19.7,20.6,28.0,24.3,24.8,24.8,0,18
i3,65,19.1,18.6,17.4,17.0,23.0,23.9,22.1,21.2,1,34
i4,65,15.5,16.0,16.4,14.4,19.0,20.3,19.9,16.4,1,33
i5,65,12.5,13.1,12.2,14.1,14.9,15.9,16.2,18.0,0,25
i6,65,12.2,11.0,11.2,12.6,15.6,13.9,14.4,14.6,1,30
i0,66,22.9,22.9,22.1,24.1,28.1,27.9,27.8,30.0,1,15
i1,66,21.9,22.6,22.4,21.2,26.1,27.5,28.7,27.1,1,30
i2,66,20.5,19.4,18.2,19.4,26.7,24.1,23.7,25.4,0,19
i3,66,17.4,17.3,17.4,16.7,20.9,21.3,22.0,20.8,1,35
i4,66,16.1,14.1,16.0,14.4,21.1,18.2,20.6,17.5,1,34
i5,66,11.4,12.1,11.1,13.3,14.1,15.0,14.3,17.5,0,26
i6,66,11.8,10.2,11.1,12.6,15.4,13.2,13.9,14.8,1,31
i0,67,23.8,22.1,23.4,21.7,29.3,27.7,29.1,26.9,1,16
i1,67,20.9,21.9,21.1,21.8,26.6,27.1,26.6,26.4,1,31
i2,67,21.2,18.1,18.4,18.4,26.6,21.9,24.1,23.8,0,20
i3,67,16.6,17.5,16.2,17.9,20.0,22.1,21.1,23.3,1,36
i4,67,13.3,14.1,14.8,15.3,16.2,17.8,17.6,20.5,1,35
i5,67,10.1,10.8,12.9,12.5,13.2,12.8,17.2,15.6,0,27
i6,67,10.8,8.9,11.2,10.4,13.1,10.9,13.9,13.0,1,32
i0,68,23.3,21.6,23.5,21.2,29.5,26.2,29.4,27.5,1,17
i1,68,21.2,21.4,21.4,21.9,26.1,27.9,27.6,26.3,1,32
i2,68,20.6,16.8,18.2,18.3,24.7,19.8,24.3,23.6,0,21
i3,68,16.1,16.6,15.9,16.1,21.6,21.6,19.9,19.9,1,37
i4,68,13.2,13.5,14.4,14.5,16.2,16.8,17.9,17.6,1,36
i5,68,10.4,11.4,12.3,12.0,13.0,13.7,15.0,15.5,0,28
i6,68,9.7,9.5,10.2,11.1,11.7,11.0,12.5,15.0,1,33
i0,69,21.6,20.5,24.1,21.2,27.5,25.2,30.5,26.4,1,18
i1,69,21.4,20.0,20.1,22.4,26.3,24.9,24.6,28.7,1,33
i2,69,18.9,17.9,19.3,17.1,23.0,23.3,23.6,22.3,0,22
i3,69,14.2,15.7,16.6,16.1,15.6,19.8,20.8,19.9,1,38
i4,69,13.1,14.6,13.1,14.2,16.0,17.1,16.7,18.2,1,37
i5,69,10.7,11.5,12.5,11.8,12.9,15.0,15.2,14.6,0,29
i6,69,10.5,9.4,10.6,10.5,13.0,9.6,12.6,14.2,1,34
i0,70,21.1,21.0,22.8,19.8,25.2,26.7,28.3,23.0,1,19
i1,70,21.4,20.0,19.3,21.5,26.1,24.2,24.5,28.7,1,34
i2,70,18.2,16.8,18.1,16.5,22.3,22.0,24.3,20.0,0,23
i3,70,14.2,14.8,15.9,16.1,18.0,18.3,19.8,19.3,1,39
i4,70,13.2,14.5,12.8,13.3,16.2,17.9,16.2,17.5,1,38
i5,70,9.8,12.4,11.4,11.2,11.4,16.0,13.9,12.7,0,30
i6,70,10.4,9.4,11.0,9.7,12.2,11.4,13.8,12.1,1,35
i0,71,22.3,20.4,20.6,19.9,27.6,24.9,26.2,25.3,1,20
i1,71,20.5,18.6,17.7,19.7,25.5,22.9,21.1,24.5,1,35
i2,71,17.2,16.9,17.2,16.8,20.0,22.0,21.1,21.5,0,24
i3,71,12.8,13.6,15.4,14.4,17.0,15.9,19.0,17.4,0,0
i4,71,11.5,14.3,12.2,12.2,13.6,17.9,15.6,15.1,1,39
i5,71,10.2,13.0,9.6,10.1,11.5,15.8,12.7,13.2,0,31
i6,71,10.9,9.2,10.6,8.5,12.5,10.7,12.6,11.7,1,36
i0,72,22.3,21.4,20.7,20.1,29.0,27.3,25.9,24.8,1,21
i1,72,18.6,18.5,17.0,19.3,23.2,23.4,20.6,23.0,1,36
i2,72,15.3,17.7,17.1,17.4,20.9,21.4,21.1,22.1,0,25
i3,72,12.1,14.1,15.4,14.1,15.4,18.2,20.1,17.0,0,1
i4,72,11.3,13.9,11.0,11.0,14.6,17.2,13.3,14.4,0,0
i5,72,10.3,13.7,9.8,10.9,12.6,16.1,12.9,13.8,0,32
i6,72,10.6,8.3,10.2,8.0,13.6,10.0,14.1,10.6,1,37
i0,73,20.8,23.1,20.0,19.5,26.4,29.1,24.1,25.0,1,22
i1,73,19.5,18.1,17.2,16.6,25.5,23.7,21.4,20.1,1,37
i2,73,14.1,17.6,15.5,16.1,16.9,22.5,19.1,21.5,0,26
i3,73,12.6,13.0,14.7,13.7,14.8,14.3,17.5,17.9,0,2
i4,73,11.9,13.0,9.7,10.4,14.4,15.5,12.1,13.7,0,1
i5,73,9.5,12.2,9.3,10.3,11.2,15.9,12.6,13.1,0,33
i6,73,9.7,7.5,10.7,7.9,11.6,8.3,13.0,8.9,1,38
i0,74,19.5,21.2,18.5,18.5,25.1,26.4,23.4,23.2,1,23
i1,74,18.2,17.4,16.8,17.1,22.3,22.3,20.7,20.9,1,38
i2,74,13.0,16.4,15.3,15.7,14.7,20.9,17.6,18.9,0,27
i3,74,13.1,10.7,13.9,11.9,17.3,14.1,16.9,15.7,0,3
i4,74,10.7,11.4,9.6,9.7,13.9,13.4,11.9,12.4,0,2
i5,74,9.5,12.1,10.2,10.3,13.2,15.7,12.2,13.0,0,34
i6,74,8.5,8.4,9.7,8.6,10.0,9.9,12.2,10.2,1,39
i0,75,19.6,19.8,19.9,17.5,25.4,24.4,23.8,21.0,1,24
i1,75,17.2,16.0,16.5,17.6,21.2,20.8,20.0,23.4,1,39
i2,75,13.4,15.4,14.0,14.2,17.1,19.6,17.5,19.2,0,28
i3,75,12.1,10.6,13.3,12.1,15.5,12.1,17.3,16.5,0,4
i4,75,10.5,11.6,10.4,9.2,12.5,14.9,12.8,11.2,0,3
i5,75,9.3,11.2,8.1,8.8,13.4,13.4,10.1,12.7,0,35
i6,75,8.6,7.8,8.5,7.9,10.4,10.0,11.6,11.8,0,0
i0,76,18.7,18.2,19.4,17.7,22.5,20.9,25.6,20.8,1,25
i1,76,16.8,15.5,16.3,16.3,22.1,18.9,20.5,19.8,0,0
i2,76,12.6,14.7,13.3,13.2,14.4,19.5,14.9,17.9,0,29
i3,76,11.8,10.3,13.8,11.6,15.7,11.9,17.1,14.6,0,5
i4,76,9.6,10.9,10.0,7.8,12.6,12.3,12.2,8.8,0,4
i5,76,9.2,9.5,8.0,9.3,10.5,10.8,10.5,12.2,0,36
i6,76,7.6,8.0,7.1,7.2,10.2,9.0,9.1,8.3,0,1
i0,77,17.5,18.5,17.8,17.9,22.6,24.6,23.8,21.8,1,26
i1,77,17.6,15.1,14.2,15.8,21.9,18.4,17.1,20.2,0,1
i2,77,12.6,14.3,13.9,12.6,14.6,18.2,18.3,16.6,0,30
i3,77,12.6,9.8,12.4,10.8,16.4,12.2,15.1,12.8,0,6
i4,77,9.3,10.6,8.1,8.3,11.5,13.3,10.6,10.9,0,5
i5,77,7.6,7.9,7.4,9.0,9.2,10.4,11.5,9.8,0,37
i6,77,7.8,6.7,7.5,6.6,9.1,8.8,10.4,8.0,0,2
i0,78,16.4,16.7,17.0,17.7,20.8,21.2,21.7,22.2,1,27
i1,78,16.0,13.3,15.1,14.0,19.9,17.3,19.4,17.1,0,2
i2,78,12.8,14.8,11.9,12.5,16.0,18.7,14.8,16.9,0,31
i3,78,11.4,9.7,11.9,10.1,15.2,10.8,15.1,12.9,0,7
i4,78,8.9,10.7,9.3,7.5,12.1,13.2,10.9,9.0,0,6
i5,78,8.5,6.3,8.0,7.8,9.0,6.8,10.2,9.4,0,38
i6,78,8.7,6.0,7.6,7.7,9.8,5.9,8.9,10.8,0,3
i0,79,14.3,15.7,17.1,16.9,19.7,20.5,20.8,21.7,1,28
i1,79,16.9,13.1,14.3,13.3,21.1,15.2,18.6,17.3,0,3
i2,79,12.1,14.2,12.6,11.6,13.5,17.9,14.7,14.7,0,32
i3,79,10.7,9.0,11.0,10.3,12.8,11.4,13.6,12.4,0,8
i4,79,8.1,9.5,8.7,7.5,11.3,13.1,11.4,8.6,0,7
i5,79,8.3,6.8,8.5,8.6,9.8,8.2,10.6,11.1,0,39
i6,79,7.9,5.8,8.0,8.7,9.6,8.3,8.9,11.2,0,4
i0,80,13.7,15.7,16.7,15.3,17.4,19.4,20.8,19.1,1,29
i1,80,15.9,12.5,13.2,12.3,18.3,14.2,15.7,16.3,0,4
i2,80,10.9,13.3,12.1,12.3,14.0,16.2,14.4,14.4,0,33
i3,80,10.0,8.6,10.9,9.8,12.7,11.1,13.0,10.3,0,9
i4,80,7.5,8.6,7.3,7.7,8.5,9.8,10.7,9.4,0,8
i5,80,7.1,6.4,7.7,7.3,8.2,6.7,8.4,9.2,1,0
i6,80,7.1,6.2,7.5,7.8,9.6,7.5,9.3,9.6,0,5
i0,81,14.0,15.2,17.2,15.2,18.1,18.0,22.0,19.5,1,30
i1,81,13.0,11.8,11.7,11.3,15.8,14.3,14.6,12.9,0,5
i2,81,11.1,12.0,11.4,11.9,14.0,15.0,14.8,14.4,0,34
i3,81,10.9,8.6,10.8,9.1,13.7,11.4,13.1,12.0,0,10
i4,81,8.6,8.6,6.5,6.5,11.5,10.4,6.6,8.5,0,9
i5,81,7.3,5.4,7.7,7.4,8.0,5.6,10.0,9.0,1,1
i6,81,7.4,5.7,8.1,7.6,9.7,6.4,8.9,10.2,0,6
i0,82,14.7,14.8,16.4,13.9,18.1,18.1,20.5,16.5,1,31
i1,82,13.7,11.7,11.2,10.9,17.6,14.7,15.4,13.7,0,6
i2,82,10.7,12.4,11.1,10.3,12.3,14.2,14.9,13.3,0,35
i3,82,9.1,8.1,10.1,8.4,11.3,8.4,13.3,10.5,0,11
i4,82,7.2,7.5,7.6,6.0,8.5,7.8,9.7,6.7,0,10
i5,82,7.7,6.2,6.3,9.3,9.6,8.1,7.0,11.3,1,2
i6,82,6.8,6.7,7.1,6.4,8.9,8.3,9.6,8.3,0,7
i0,83,13.3,14.8,15.7,12.7,18.1,18.3,20.7,15.8,1,32
i1,83,12.7,10.8,11.3,10.1,15.3,12.4,13.5,12.6,0,7
i2,83,10.7,11.0,11.5,9.8,14.9,14.4,13.5,12.4,0,36
i3,83,9.0,7.3,9.5,7.9,9.5,9.8,9.7,10.0,0,12
i4,83,7.0,8.5,8.5,6.2,9.0,11.5,10.6,5.8,0,11
i5,83,7.8,5.6,7.3,8.8,8.1,8.8,8.8,11.9,1,3
i6,83,6.4,6.4,6.7,7.7,7.6,8.0,7.4,10.9,0,8
i0,84,12.8,12.6,13.9,11.5,16.1,14.8,16.5,14.6,1,33
i1,84,11.7,11.4,10.3,10.8,12.7,13.7,13.9,12.7,0,8
i2,84,8.7,9.4,9.9,9.2,10.4,11.6,11.6,10.8,0,37
i3,84,9.3,8.2,9.0,7.9,13.0,10.4,11.3,11.1,0,13
i4,84,6.9,7.5,8.1,6.4,7.9,9.7,10.6,7.5,0,12
i5,84,7.7,6.3,7.6,8.7,9.2,8.1,9.0,10.4,1,4
i6,84,6.6,6.5,6.6,7.6,8.6,8.5,8.3,8.4,0,9
i0,85,11.7,12.2,13.7,11.4,14.1,15.6,17.6,13.8,1,34
i1,85,11.4,11.7,9.7,10.5,13.9,14.2,12.9,13.0,0,9
i2,85,9.2,8.6,9.5,9.4,11.8,10.2,11.9,11.7,0,38
i3,85,8.8,6.7,8.7,6.9,10.8,8.4,10.8,7.6,0,14
i4,85,7.4,7.7,7.3,6.5,9.9,9.4,8.8,7.5,0,13
i5,85,8.3,6.2,7.5,7.8,11.6,7.9,9.3,9.7,1,5
i6,85,6.0,5.8,6.4,6.6,7.8,6.1,8.2,8.3,0,10
i0,86,10.9,11.1,12.0,11.3,13.8,12.6,15.9,14.2,1,35
i1,86,10.9,11.1,10.8,10.3,13.1,13.4,13.4,12.3,0,10
i2,86,8.6,9.6,8.6,10.3,9.5,13.0,9.9,12.5,0,39
i3,86,7.6,6.0,8.1,7.3,9.4,8.5,10.3,10.1,0,15
i4,86,6.9,5.3,6.3,7.4,6.8,7.2,6.7,7.8,0,14
i5,86,9.0,6.0,8.0,7.2,11.3,5.8,10.1,9.6,1,6
i6,86,6.1,6.2,7.2,7.3,8.5,7.6,9.5,9.4,0,11
i0,87,11.3,10.6,11.0,10.1,13.8,13.8,14.2,13.0,1,36
i1,87,10.4,11.1,10.5,8.8,12.3,13.1,13.4,11.1,0,11
i2,87,8.8,9.0,9.9,9.5,10.8,11.0,11.9,11.0,1,0
i3,87,7.9,7.4,8.7,7.1,8.8,10.2,11.7,8.1,0,16
i4,87,7.6,5.2,6.7,8.1,10.8,7.1,8.7,11.1,0,15
i5,87,7.7,6.0,7.4,6.8,9.3,8.3,10.5,8.2,1,7
i6,87,7.1,6.0,7.4,7.1,7.8,6.9,10.1,9.2,0,12
i0,88,10.2,10.4,12.1,9.6,12.1,11.9,16.2,11.9,1,37
i1,88,10.4,10.7,10.0,8.5,13.5,13.5,13.1,10.6,0,12
i2,88,9.4,9.6,9.4,8.6,12.7,14.2,11.5,11.0,1,1
i3,88,7.9,7.6,7.2,7.2,10.0,10.0,10.0,8.2,0,17
i4,88,7.7,5.8,6.0,8.3,8.6,8.2,8.9,11.6,0,16
i5,88,7.6,5.5,7.4,7.4,9.7,6.7,10.4,10.7,1,8
i6,88,6.6,6.2,5.3,7.0,7.9,7.4,5.2,8.4,0,13
i0,89,10.1,9.2,10.6,9.5,13.4,11.9,13.1,11.6,1,38
i1,89,9.2,9.2,9.2,8.9,11.1,10.3,10.9,11.1,0,13
i2,89,9.0,8.8,9.3,8.1,10.7,12.6,9.9,9.3,1,2
i3,89,7.8,7.7,7.0,6.5,9.1,9.0,7.9,8.3,0,18
i4,89,7.0,6.1,7.1,7.9,9.3,6.8,8.0,8.8,0,17
i5,89,7.2,5.9,7.5,7.4,9.5,6.3,9.2,10.5,1,9
i6,89,7.8,5.3,5.6,7.6,9.9,5.8,6.1,10.1,0,14
i0,90,9.0,8.5,10.8,10.4,10.3,10.8,13.8,11.7,1,39
i1,90,8.2,8.5,10.1,8.2,9.3,10.9,11.9,11.0,0,14
i2,90,10.1,9.1,8.4,7.8,11.5,12.2,9.8,9.6,1,3
i3,90,8.3,7.5,7.1,5.7,9.1,8.4,9.4,7.1,0,19
i4,90,7.0,6.5,6.3,7.4,9.6,8.7,9.1,9.5,0,18
i5,90,6.7,7.5,7.5,6.8,9.3,9.7,10.1,9.9,1,10
i6,90,7.4,6.4,5.7,7.6,9.6,8.4,6.0,10.0,0,15
i0,91,8.5,8.7,9.6,9.9,10.8,11.1,10.8,13.2,0,0
i1,91,7.1,8.2,8.5,9.2,7.7,10.6,10.5,10.8,0,15
i2,91,8.0,9.0,7.9,7.2,10.4,12.2,8.4,10.2,1,4
i3,91,9.1,8.0,8.1,4.9,11.6,10.9,11.1,6.1,0,20
i4,91,7.0,7.6,6.7,7.8,8.4,9.6,7.9,8.5,0,19
i5,91,6.8,6.9,7.3,6.7,8.5,7.7,10.0,8.8,1,11
i6,91,8.6,7.7,5.7,7.4,10.5,10.6,6.9,9.5,0,16
i0,92,7.6,9.2,9.4,8.9,9.0,10.1,12.2,10.1,0,1
i1,92,5.9,8.1,8.3,7.8,8.1,9.8,10.4,10.1,0,16
i2,92,7.6,8.6,7.1,6.9,9.7,10.3,9.3,9.3,1,5
i3,92,9.0,7.2,8.5,5.5,11.4,9.7,11.0,7.6,0,21
i4,92,7.2,7.2,6.0,7.5,9.1,9.7,5.6,8.0,0,20
i5,92,7.5,7.4,8.8,4.8,9.0,8.1,12.2,5.8,1,12
i6,92,8.4,7.2,5.6,7.5,9.8,8.6,6.6,8.9,0,17
i0,93,5.8,9.7,8.9,7.6,7.0,11.9,10.7,10.0,0,2
i1,93,6.8,9.0,6.5,7.1,8.3,12.4,8.2,7.9,0,17
i2,93,7.8,8.2,6.8,7.7,10.7,9.6,8.5,10.8,1,6
i3,93,7.4,7.1,7.9,5.7,9.7,9.9,10.2,7.5,0,22
i4,93,7.8,6.2,6.4,6.6,9.6,7.2,8.3,8.8,0,21
i5,93,7.7,6.5,7.8,5.5,10.1,8.9,8.4,6.8,1,13
i6,93,6.7,6.8,6.1,5.8,8.0,8.2,7.5,6.6,0,18
i0,94,6.1,9.3,8.9,7.5,7.7,11.7,9.8,9.4,0,3
i1,94,6.2,8.8,6.9,6.2,7.6,11.1,9.3,7.4,0,18
i2,94,7.1,7.7,6.8,6.9,8.4,8.5,7.4,7.1,1,7
i3,94,6.7,7.8,6.4,5.0,8.3,10.6,7.7,5.7,0,23
i4,94,5.8,6.2,5.6,6.5,5.8,6.9,6.5,8.1,0,22
i5,94,7.2,6.9,7.7,5.8,7.6,9.5,9.6,6.9,1,14
i6,94,5.4,6.8,4.8,6.0,8.2,8.4,6.3,7.5,0,19
i0,95,5.7,7.6,9.1,7.0,7.9,11.3,10.0,9.2,0,4
i1,95,6.7,9.4,8.2,6.5,7.2,10.6,10.6,8.7,0,19
i2,95,7.1,7.8,6.3,7.0,8.9,9.7,5.8,7.6,1,8
i3,95,7.4,7.9,6.9,5.5,8.8,10.6,7.5,8.1,0,24
i4,95,6.6,6.4,5.8,6.6,9.0,8.5,6.8,7.0,0,23
i5,95,6.8,5.3,8.0,5.5,7.6,5.8,9.2,7.0,1,15
i6,95,7.7,7.0,5.6,7.0,9.2,9.5,6.4,8.2,0,20
i0,96,5.9,7.4,8.8,6.6,7.3,8.6,11.2,8.7,0,5
i1,96,6.2,8.3,9.0,7.3,6.2,9.9,11.7,9.9,0,20
i2,96,7.9,7.9,5.5,7.5,9.8,9.4,8.4,8.6,1,9
i3,96,6.7,8.1,6.7,6.6,8.3,9.8,7.8,6.7,0,25
i4,96,6.6,5.4,6.2,5.9,7.6,5.9,8.6,6.2,0,24
i5,96,6.9,5.8,6.0,5.4,7.6,8.4,8.5,6.5,1,16
i6,96,7.4,5.8,6.0,7.1,9.5,6.3,7.0,8.5,0,21
